     0.000     0.000      0.
     2.000     0.000      0.
     2.340     0.000      0.//Body Plan forepro
     3.000     1.353      0.
     4.000     2.045      0.
     5.000     2.481      0.
     6.000     2.753      0.
     7.000     2.893      0.
     8.000     2.890      0.
     9.000     2.686      0.
    10.000     2.125      0.
    11.000     0.697      0.
    11.516     0.000      0.//Body Plan forepro
    12.000     0.000      0.
    18.000     0.000      0.
    18.640     0.000      0.//Body Plan forepro
    20.000     1.590      0.
    22.000     3.135      0.
    24.200     5.042      0.
1111.  
1111.     20.000      5.941   ST//20.45st:5.941(941125)
     0.000     0.000      0.
     4.000     0.000      0.
     4.206     0.000      0.//Body Plan forepro
     5.000     1.300      0.
     6.000     1.910      0.
     7.000     2.258      0.
     8.000     2.420      0.
     9.000     2.400      0.
    10.000     2.110      0.
    11.000     1.320      0.
    11.198     0.000      0.//Body Plan forepro
    12.000     0.000      0.
    22.000     0.000      0.
    23.013     0.000      0.//Body Plan forepro
    24.200     2.343      0.
1111.  
1111.      0.000     FWD PROFILE
     0.000  -132.025      0.//10st Body Plan forepro
     0.000  -118.823      0.//11st Body Plan forepro
     0.000  -105.620      0.//12st Body Plan forepro
     0.000   -92.418      0.//13st Body Plan forepro
     0.000   -79.215      0.//14st Body Plan forepro
     0.000   -66.013      0.//15st Body Plan forepro
     0.000   -52.810      0.//16st Body Plan forepro
     0.000   -39.608      0.//17st Body Plan forepro
     0.000   -26.405      0.//18st Body Plan forepro
     0.000   -19.804      0.//18.5st Body Plan forepro
     0.000   -13.203      0.//19st Body Plan forepro
     0.000    -6.601      0.//19.5st Body Plan forepro
     0.000    -4.000      0.//end z=0
     1.252     0.000      0.//20st Body Plan forepro
     2.340     3.037      0.//20.23st Body Plan forepro
     4.206     5.941      0.//20.45st Body Plan forepro
     6.000     7.769      0.
     7.000     8.406      0.
     8.000     8.948      0.
     9.000     9.075      0.
    10.000     8.789      0.
    11.000     7.705      0.
    11.198     5.941      0.//20.45st Body Plan forepro
    11.516     3.037      0.//20.23st Body Plan forepro
    11.947     0.000      0.//20st Body Plan forepro
    12.300     0.000      0.//20st Body Plan forepro
    13.000     0.034      0.
    14.500     0.524      0.
    16.000     1.267      0.
    18.640     3.037      0.//20.23st Body Plan forepro
    23.013     5.941      0.//20.45st Body Plan forepro
    24.200                0.
1111. 
